Date,Open,High,Low,Close,Adj Close,Volume
2014-06-01,37.520000,39.439999,37.209999,38.880001,38.880001,45952100
2014-07-01,39.020000,39.119999,36.270000,36.320000,36.320000,76787500
2014-08-01,36.119999,36.560001,34.580002,35.759998,35.759998,72640900
2014-09-01,35.279999,35.759998,33.910000,34.410000,34.410000,97141500
2014-10-01,34.599998,34.980000,30.160000,30.629999,30.629999,176409600
2014-11-01,30.510000,30.719999,25.459999,25.580000,25.580000,208684500
2014-12-01,25.309999,26.389999,19.840000,20.360001,20.360001,482643900
2015-01-01,19.969999,20.350000,16.299999,17.820000,17.820000,663442100
2015-02-01,18.400000,20.290001,17.580000,18.100000,18.100000,749478200
2015-03-01,18.129999,19.100000,15.610000,16.840000,16.840000,658090400
2015-04-01,17.000000,20.549999,16.930000,20.510000,20.510000,573429100
2015-05-01,20.299999,21.500000,19.090000,20.309999,20.309999,428405700
2015-06-01,20.360001,20.799999,19.230000,19.879999,19.879999,331750900
2015-07-01,19.540001,19.580000,15.540000,15.590000,15.590000,530800600
2015-08-01,15.290000,16.150000,12.370000,15.890000,15.890000,684140000
2015-09-01,15.480000,15.850000,14.160000,14.680000,14.680000,612166900
2015-10-01,15.150000,16.200001,13.610000,14.810000,14.810000,613541800
2015-11-01,14.690000,15.450000,12.810000,12.930000,12.930000,517233900
2015-12-01,12.920000,13.110000,10.520000,11.000000,11.000000,743588900
2016-01-01,11.260000,11.420000,7.920000,9.650000,9.650000,1247257100
2016-02-01,9.350000,9.650000,7.670000,9.000000,9.000000,1092411000
2016-03-01,8.980000,10.800000,8.890000,9.700000,9.700000,874491300
2016-04-01,9.410000,11.500000,8.990000,11.300000,11.300000,751928600
2016-05-01,11.240000,12.130000,10.630000,11.870000,11.870000,475563600
2016-06-01,11.620000,12.450000,10.960000,11.570000,11.570000,518152000
2016-07-01,11.520000,11.780000,9.550000,9.760000,9.760000,490569100
2016-08-01,9.620000,11.380000,9.230000,10.360000,10.360000,741459600
2016-09-01,10.190000,11.030000,9.820000,10.930000,10.930000,982433700
2016-10-01,11.040000,11.790000,10.530000,10.530000,10.530000,974529100
2016-11-01,10.650000,11.100000,9.560000,10.930000,10.930000,958402800
2016-12-01,11.320000,11.940000,11.070000,11.720000,11.720000,661474000
2017-01-01,11.980000,12.000000,11.060000,11.320000,11.320000,426008800
2017-02-01,11.420000,11.650000,11.040000,11.450000,11.450000,385593600
2017-03-01,11.510000,11.550000,9.880000,10.640000,10.640000,601365500
2017-04-01,10.620000,11.260000,10.040000,10.240000,10.240000,477145200
2017-05-01,10.190000,10.700000,9.430000,9.960000,9.960000,699917400
