Date,Open,High,Low,Close,Adj Close,Volume
2006-12-01,null,null,null,null,null,null
2007-01-01,76.260002,76.269997,70.639999,74.099998,52.406528,504732000
2007-02-01,74.580002,76.099998,71.180000,71.680000,50.695023,401419000
2007-03-01,70.900002,76.349998,69.019997,75.449997,53.588562,611224400
2007-04-01,75.349998,80.879997,75.279999,79.379997,56.379860,451394900
2007-05-01,79.500000,84.320000,79.050003,83.169998,59.071724,443527200
2007-06-01,83.559998,86.580002,80.849998,83.879997,59.833210,506912200
2007-07-01,84.500000,93.620003,84.120003,85.129997,60.724842,559643700
2007-08-01,84.989998,87.900002,78.760002,85.730003,61.152840,687544000
2007-09-01,85.309998,93.660004,83.879997,92.559998,66.288750,446258200
2007-10-01,92.449997,95.269997,89.669998,91.989998,65.880547,513452200
2007-11-01,89.830002,90.949997,83.370003,89.160004,63.853775,548075900
2007-12-01,88.970001,95.099998,87.709999,93.690002,67.358864,386223600
2008-01-01,94.150002,94.739998,77.550003,85.699997,61.614414,614692200
2008-02-01,87.699997,90.169998,80.360001,87.010002,62.556248,491055000
2008-03-01,86.830002,88.500000,81.970001,84.580002,61.071663,608218000
2008-04-01,84.800003,94.930000,84.260002,93.070000,67.201958,483071200
2008-05-01,90.099998,96.120003,87.599998,88.760002,64.089874,575856500
2008-06-01,88.089996,90.500000,84.769997,88.129997,63.919285,565696300
2008-07-01,87.870003,89.629997,79.099998,80.430000,58.334587,685444100
2008-08-01,80.550003,81.500000,76.139999,80.010002,58.029999,543017900
2008-09-01,78.040001,82.000000,71.510002,77.660004,56.613216,770778000
2008-10-01,77.190002,81.750000,56.509998,74.120003,54.032619,1384259200
2008-11-01,73.449997,81.029999,67.540001,80.150002,58.428410,1006470600
2008-12-01,77.889999,83.639999,72.680000,79.830002,58.529770,996412900
2009-01-01,80.059998,82.730003,74.010002,76.480003,56.073627,844182900
2009-02-01,76.059998,80.500000,67.900002,67.900002,49.782928,771508100
2009-03-01,67.000000,71.489998,61.860001,68.099998,50.181171,933460300
2009-04-01,67.040001,71.150002,64.500000,66.669998,49.127438,632859600
2009-05-01,67.129997,71.389999,65.599998,69.349998,51.102253,530458500
2009-06-01,70.459999,74.830002,68.080002,69.910004,51.822330,596987800
2009-07-01,70.669998,72.790001,64.459999,70.389999,52.178139,560318900
2009-08-01,70.959999,71.889999,66.089996,69.150002,51.258957,437664700
2009-09-01,68.930000,71.080002,67.830002,68.610001,51.169331,419180700
2009-10-01,68.389999,75.000000,66.110001,71.669998,53.451469,501283200
2009-11-01,72.050003,76.540001,71.040001,75.070000,55.987179,356438100
2009-12-01,76.000000,76.300003,67.639999,68.190002,51.152096,648945000
2010-01-01,68.720001,70.599998,64.019997,64.430000,48.331558,596474300
2010-02-01,65.769997,67.230003,63.560001,65.000000,48.759144,534843200
2010-03-01,65.360001,67.889999,65.080002,66.980003,50.572197,582728200
2010-04-01,67.269997,70.000000,66.849998,67.769997,51.168694,531285400
2010-05-01,68.110001,68.220001,58.459999,60.459999,45.649384,768609600
2010-06-01,60.380001,64.500000,56.919998,57.070000,43.382454,808522600
2010-07-01,56.980000,61.880001,55.939999,59.680000,45.366463,613489500
2010-08-01,60.639999,62.990002,58.049999,59.110001,44.933178,475629700
2010-09-01,60.040001,62.439999,59.720001,61.790001,47.306503,423362300
2010-10-01,62.320000,66.809998,61.799999,66.489998,50.904839,430427600
2010-11-01,66.720001,71.900002,66.629997,69.559998,53.255238,486318500
2010-12-01,70.379997,73.690002,70.379997,73.120003,56.333275,409237200
2011-01-01,73.720001,80.820000,73.639999,80.680000,62.157658,449380100
2011-02-01,81.139999,88.230003,81.040001,85.529999,65.894203,443594000
2011-03-01,86.410004,86.500000,78.800003,84.129997,65.157181,439334000
2011-04-01,84.720001,88.000000,82.379997,87.980003,68.138931,309722400
2011-05-01,88.099998,88.129997,79.419998,83.470001,64.646034,403834500
2011-06-01,83.550003,83.650002,76.720001,81.379997,63.384804,444344200
2011-07-01,81.190002,85.410004,79.760002,79.790001,62.146420,375467600
2011-08-01,80.820000,81.180000,67.029999,74.019997,57.652328,774165900
2011-09-01,74.150002,74.980003,67.930000,72.629997,56.943249,550523400
2011-10-01,72.050003,82.199997,69.209999,78.089996,61.223984,514198800
2011-11-01,75.820000,80.529999,73.900002,80.440002,63.066437,444321100
2011-12-01,80.199997,85.629997,78.660004,84.760002,66.849365,380150300
2012-01-01,85.970001,87.940002,83.459999,83.739998,66.044891,333545900
2012-02-01,84.230003,87.830002,83.190002,86.500000,68.221672,300700700
2012-03-01,86.470001,87.250000,84.050003,86.730003,68.777473,338912600
2012-04-01,86.599998,87.669998,81.879997,86.339996,68.468201,300234500
2012-05-01,86.459999,87.519997,78.410004,78.629997,62.354130,353685200
2012-06-01,77.870003,85.699997,77.129997,85.570000,68.325058,497990800
2012-07-01,85.440002,87.849998,82.830002,86.849998,69.347076,314314800
2012-08-01,87.019997,88.910004,85.500000,87.300003,69.706406,248010000
2012-09-01,87.330002,92.570000,86.519997,91.449997,73.494614,254195800
2012-10-01,91.790001,93.669998,89.680000,91.169998,73.269577,241112300
2012-11-01,90.250000,92.050003,85.059998,88.139999,70.834480,285676100
